"Country","TIME","unemp","gdpc","infl","socsp","minwage","bipacc","loggdp","schooling","emp_protect","particip","exports","id"
"Austria",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Austria",1991,NA,20523.528812,3.3374261001366,NA,NA,NA,3.441627,NA,2.75,NA,NA,1
"Austria",1992,NA,21196.268217,4.02084684152512,NA,NA,NA,2.093525,NA,2.75,NA,33.2353314760951,1
"Austria",1993,3.95833333333333,21635.75421,3.63178554402615,NA,NA,NA,0.526809,NA,2.75,NA,31.5398774973036,1
"Austria",1994,4.24166666666667,22540.048787,2.95340652383275,NA,NA,NA,2.402119,NA,2.75,59.0628798476275,32.2361907844691,1
"Austria",1995,4.24166666666667,23587.926414,2.24336375412049,22.758,NA,-2.8663329386705,2.667984,NA,2.75,59.2356531388096,33.6141166614543,1
"Austria",1996,4.73333333333333,24475.617809,1.86097410872889,NA,NA,-2.84353023382828,2.398314,NA,2.75,58.5665779843048,34.3260231891299,1
"Austria",1997,4.73333333333333,25350.587983,1.30598330374072,22.039,NA,-2.55005471731342,2.20502,NA,2.75,58.5444571027847,37.1095049388858,1
"Austria",1998,4.725,26577.118805,0.922466865804067,NA,NA,-1.87204919126377,3.559967,NA,2.75,58.4568501588537,38.4525486345965,1
"Austria",1999,4.15,27547.946746,0.568986519284504,22.171,NA,-2.26528270007973,3.589988,NA,2.75,58.6174573512105,39.4406688915399,1
"Austria",2000,3.93333333333333,29301.082171,2.34486839687016,NA,NA,-0.709206141235536,3.368408,NA,2.75,58.4628178539935,43.4297068820952,1
"Austria",2001,3.98333333333333,29725.427138,2.65,21.83,NA,-0.797380466636588,1.350516,NA,2.75,58.541876759244,44.6928354068558,1
"Austria",2002,4.38333333333333,31118.569332,1.8103588244845,NA,NA,2.10558738053299,1.655855,NA,2.75,59.1259955086861,45.3092484776471,1
"Austria",2003,4.75833333333333,31999.730108,1.35555378358984,22.69,NA,1.55238614240038,0.756157,NA,2.3690476,59.4507912968225,44.5803390773207,1
"Austria",2004,5.50833333333333,33659.802284,2.061206828731,NA,NA,2.08277246616052,2.705743,NA,2.3690476,57.9300641998479,46.9163042656422,1
"Austria",2005,5.63333333333333,34877.638391,2.29913772525071,22.37,NA,2.26750600777435,2.140683,58,2.3690476,58.5583488050481,48.6307793094521,1
"Austria",2006,5.25,37458.631232,1.44154653778853,NA,NA,3.31096755583527,3.350831,NA,2.3690476,59.0823914195902,50.8316258753068,1
"Austria",2007,4.86666666666667,39152.302626,2.16855593888616,21.971,NA,3.82437321784845,3.62151,87,2.3690476,59.9362359117113,52.4851502713453,1
"Austria",2008,4.14166666666667,41058.429268,3.215951117543,NA,NA,4.51785779327882,1.547264,104,2.3690476,60.1730675273341,53.1549284745586,1
"Austria",2009,5.325,40713.40615,0.506309393986598,24.231,NA,2.61366331316076,-3.799075,126,2.3690476,60.4449319889058,44.8958615926937,1
"Austria",2010,4.84166666666667,41918.456493,1.81353173680542,NA,NA,2.86734950076537,1.928673,150,2.3690476,60.3960246789463,51.0036062485681,1
"Austria",2011,4.575,44254.357605,3.28658305428621,23.484,NA,1.63885408221591,2.808,173,2.3690476,60.4891876766856,53.6718626571573,1
"Austria",2012,4.88333333333333,46253.60764,2.4856750867565,NA,NA,1.48967118167059,0.745756,196,2.3690476,60.7628119330701,53.7968041822803,1
"Austria",2013,5.35833333333333,47733.783002,2.000157492716,23.993,NA,1.95046039999109,0.124224,217,2.3690476,60.9201699989558,53.1923388048021,1
"Austria",2014,5.64166666666667,48602.594981,1.60580560487916,NA,NA,2.38940055678208,0.644845,241,NA,60.6940792504219,53.0161619720015,1
"Austria",2015,5.73333333333333,49440.24825,0.896565286860055,NA,NA,1.90940736705673,0.963058,263,NA,60.7226902298744,53.0602062913119,1
"Austria",2016,6.03333333333333,50124.976865,0.891592367302749,NA,NA,1.71836209407166,1.480731,NA,NA,61.2069497611627,52.2384621704147,1
"Belgium",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Belgium",1991,6.44166666666667,19661.276087,3.21531063739934,NA,20589.568,NA,1.833074,NA,1.8452381,49.2747872294908,NA,2
"Belgium",1992,7.09166666666667,20333.952081,2.42795636931716,NA,21374.545,NA,1.530655,NA,1.8452381,49.6329177942638,58.1956405828006,2
"Belgium",1993,8.625,20537.786981,2.75442578302316,23.779,21550.373,NA,-0.961873,NA,1.8452381,49.7345873866319,55.5226206194562,2
"Belgium",1994,9.75,21587.500767,2.3775445292621,NA,21461.428,NA,3.226971,NA,1.8452381,50.3309389395304,57.8156733053286,2
"Belgium",1995,9.675,22516.550434,1.46796116504853,23.437,21537.957,NA,2.384757,NA,1.8452381,50.535505782884,59.4874678663239,2
"Belgium",1996,9.54166666666667,22895.913089,2.07702462348191,NA,21381.219,NA,1.593571,NA,1.8452381,50.4081481153261,60.4430819386687,2
"Belgium",1997,9.21666666666667,23913.777099,1.62816049512957,22.733,21283.076,NA,3.710197,NA,1.8452381,50.5235675075199,63.8968177050834,2
"Belgium",1998,9.34166666666667,24539.059373,0.949250288350638,NA,21397.668,NA,1.975512,NA,1.8452381,50.8522393157308,63.3971597935946,2
"Belgium",1999,8.475,25650.845352,1.12084823417845,22.546,21406.76,NA,3.563094,NA,1.8452381,51.9107568619328,63.898602114435,2
"Belgium",2000,6.875,27981.266534,2.54451776190907,NA,21187.799,NA,3.633841,NA,1.8452381,52.1815242577481,71.857548930765,2
"Belgium",2001,6.59166666666667,29040.636683,2.46925823086077,22.135,21196.588,NA,0.811644,NA,1.8928572,51.3439031043814,71.0205125889807,2
"Belgium",2002,7.525,30491.001316,1.6452143617536,NA,21410.447,NA,1.780253,NA,1.8928572,51.7431195112032,70.3146529002236,2
"Belgium",2003,8.175,31064.015935,1.58896399970381,24.067,21356.533,3.52513896891313,0.774498,NA,1.8928572,51.8253345637773,68.5961144506912,2
"Belgium",2004,8.39166666666667,32273.582812,2.0972831123931,NA,21195.617,3.26745080167833,3.634777,NA,1.8928572,52.5455530567843,70.3700231996813,2
"Belgium",2005,8.43333333333333,33347.048427,2.78143263670022,23.826,21103.824,2.09378914682073,2.094485,NA,1.8928572,53.2994171441142,73.5213383801901,2
"Belgium",2006,8.25,35423.258779,1.79120770070458,NA,21042.279,1.89971228034906,2.499135,66,1.8928572,53.1142993985779,75.711285671428,2
